"source_file","format","title","product","text","status","error"
"(분쟁조정사례)대출상품 금리우대 적용 관련 분쟁.hwp","hwp","(분쟁조정사례)대출상품 금리우대 적용 관련 분쟁","분쟁조정사례","<분쟁사례>

대출상품 금리우대 

적용 관련 분쟁

< ▣ 민원내용     민원인은 전세자금대출 갱신 과정에서 은행으로부터 금리우대 조건이 달라진 점*을 고지받지 못하였으므로, 금리우대 미적용으로 인해 추가 납부한 대출이자의 환급을 요구하는 민원을 제기      * 급여이체(월 50만원 → 100만원), 카드사용(3개월간 50만원 → 매월 30만원)   ▣ 쟁점    은행의 대출상품 금리우대 적용 관련 업무처리가 적정한지 여부   ▣ 처리결과    해당 대출 갱신 관련 서류의 금리우대에 관한 약정서 및 설명서상 금리우대 세부조건이 명시되어 있고, 계약자의 자필서명 기재가 확인    대출 갱신 이후 우대금리를 적용하지 않은 은행의 업무처리가 부당하다고 보기 어려움    ▣ 소비자 유의사항     대출상품 가입 또는 갱신 시 금리우대 요건을 면밀히 확인하여, 우대금리 미적용 등 불이익을 받지 않도록 주의할 필요>","ok",""
"(분쟁조정사례)생계유지 필요 예금에 대한 압류 해제 관련 분쟁.hwp","hwp","(분쟁조정사례)생계유지 필요 예금에 대한 압류 해제 관련 분쟁","분쟁조정사례","<분쟁사례>

생계유지 필요 예금에 대한 

압류 해제 관련 분쟁

< ▣ 민원내용     민원인은 최근 대출금 상환을 연체하여 대출금융기관이 민원인 명의의 모든 예금에 대해 압류를 진행하였는데, 생계유지에 필요한 금원이 예치된 예금까지도 압류함에 따라 불편을 겪고 있음을 이유로 압류해제를 요청하는 민원을 제기   ▣ 쟁점    생계유지에 필요한 금원이 예치된 예금에 대한 압류 관련 업무처리가 적정한지 여부   ▣ 처리결과    민사집행법상 1개월간 생계유지에 필요한 예금(‘25년 기준 185만원)*은 압류가 금지     * 어느 한 계좌에 예치되어 있는 금액이 아닌, 각 금융기관에 예치되어 있는 채무자 명의 예금을 합산한 금액 중 일정 금액을 의미(대법원 2021다206356)    그러나 대출금융기관이 채무자의 예금 중 압류금지 대상을 특정하는 것은 현실적으로 불가능하므로, 모든 예금에 대해 압류를 신청하는 것이 부당하다고 보기 어려움    다만, 이 경우에는 생계유지에 필요한 금원의 예금 등에 대하여 법원에 압류금지채권 범위변경 신청*을 통해 구제받을 수 있움을 안내     * 압류명령 결정을 내린 집행법원에 ‘압류금지채권의 범위변경신청서’ 및 소명자료를 제출   ▣ 소비자 유의사항    금융회사가 생계유지에 필요한 예금까지 모두 압류한 경우에는 법원에 압류금지채권 범위변경 신청을 통해 생계유지에 필요한 예금 등의 압류를 구제받을 수 있습니다.  (참고) 생계비계좌(민사집행법 제246조의2 신설, ‘26.2.1. 시행)  <□ 민사집행법 개정에 따라 ‘26.2.1.부터 예금자는 압류금지생계비에 해당하는 금액을 예치할 수 있는 계좌(’생계비계좌‘)를 개설(1인1계좌 限) 가능   ◦ 생계비계좌에 예치된 예금*에 대해서는 압류가 금지되므로, 채무자는 생계비에 해당 예금에 대하여 별도 압류금지채권 범위변경 신청 불요      * 단, 압류금지생계비 이내에서 예치 가능(초과 예치·입금 불가)> >","ok",""
"10_(금투)_금융투자상품 가입시 상품설명서 등 중요사항에 대해서는 꼭 이해하고 가입해야 합니다..hwp","hwp","10_(금투)_금융투자상품 가입시 상품설명서 등 중요사항에 대해서는 꼭 이해하고 가입해야 합니다.","","<분쟁사례>

 

펀드 가입시 금융회사가 중요사항을 설명하지 않았다는 민원 사례

< 민원유형 : 펀드- 설명의무   ▣ 민원내용     펀드 가입 시 금융회사가 중요사항을 설명하지 않는 등 설명의무를 미이행하였으므로 이에 대한 손해배상을 요청   ▣ 쟁점    펀드 가입시 금융회사가 중요사항에 대한 설명의무를 이행하였는지 여부     ▣ 처리결과    민원인은 상품설명서를 교부받고 금융투자상품에 대하여 설명을 듣고 이해하였음을 자필 기재한 사실이 확인되는데 민사소송법 제358조에 따르면 사문서는 본인 또는 대리인의 서명이나 날인 또는 무인이 있는 때에는 진정한 것으로 추정하고 있으며, 법원은 “원금 손실 가능성 및 충분한 설명을 들었으며 상품설명서를 수령했다는 것을 확인하는 내용이 기재된 청약서, 위험고지문 등에 원고들이 서명, 날인하였다면 본건 상품설명서 교부 사실이 추인된다 할 것이고 수익발생조건, 수익률, 원금손실가능성 등 개략적인 내용을 설명한 사실이 인정되므로 설명 및 교부 의무를 이행한 것으로 볼 수 있음”이라고 판시(서울고등법원 2009.1.16. 선고 2008나7750)하고 있어 민원인 주장 기각    ▣ 소비자 유의사항    금융투자상품 가입 시 상품설명서 등 관련 서류에 형식적으로 서명하는 것이 아닌 중요사항에 대한 정확한 설명을 듣고 이해한 후 가입 필요>","ok",""
"2_(은행)_모임주 대출연체시 모임통장 상계 관련 분쟁.hwpx","hwpx","2_(은행)_모임주 대출연체시 모임통장 상계 관련 분쟁","대출","분쟁사례
분쟁사례
모임주의 대출 연체시
모임통장 대출 상계 처리
관련 분쟁
[ 민원유형 : 은행 – 대출 ] ▣ 민원내용 신청인은 OO은행(이하 ‘은행’)에서 마이너스 통장대출을 이용하던 중 이자 연체로 기한 전 채무변제 의무가 발생했는데, 은행이 신청인 명의 통장 중 모임 통장까지 상계 대상에 포함하여 대출과 상계 처리하였다며 이러한 업무처리가 정당한지 확인 요청 ▣ 쟁점 은행이 정당하게 신청인 명의 모임 통장과 대출을 상계하였는지 여부 ▣ 처리결과 은행은 신청인의 이자 연체로 기한 전 채무변제 의무가 발생하자 「은행여신거래기본약관」 등에 따라 상계 예정 통지서를 발송하고 신청인의 예금을 정당하게 상계 처리하였으며, 모임 통장 신규 시 상품설명서 등을 통해 대출 연체 등 모임주의 상황에 따라 상계를 포함한 압류 등 조치의 대상이 될 수 있음을 안내한 사실 확인 ▣ 소비자 유의사항 은행은 대출 연체 등 기한이익 상실 사유 발생시 상계 예정 통지서 발송 등 절차를 거쳐 채무자 명의의 예금을 대출 원리금과 상계할 수 있음 모임통장은 모임주 개인 명의의 통장으로 모임회비의 지급, 해지 등 잔액에 대한 모든 권한이 모임주에게 있으며, 모임주의 대출 연체 등 신용 상황에 따라 모임 통장이 모임주의 대출과 상계 처리될 수 있으므로 모임의 공동 재산에 피해가 가지 않도록 유의해야 함
[ 민원유형 : 은행 – 대출 ]
▣ 민원내용
신청인은 OO은행(이하 ‘은행’)에서 마이너스 통장대출을 이용하던 중 이자 연체로 기한 전 채무변제 의무가 발생했는데, 은행이 신청인 명의 통장 중 모임 통장까지 상계 대상에 포함하여 대출과 상계 처리하였다며 이러한 업무처리가 정당한지 확인 요청
▣ 쟁점
은행이 정당하게 신청인 명의 모임 통장과 대출을 상계하였는지 여부
▣ 처리결과
은행은 신청인의 이자 연체로 기한 전 채무변제 의무가 발생하자 「은행여신거래기본약관」 등에 따라 상계 예정 통지서를 발송하고 신청인의 예금을 정당하게 상계 처리하였으며,
모임 통장 신규 시 상품설명서 등을 통해 대출 연체 등 모임주의 상황에 따라 상계를 포함한 압류 등 조치의 대상이 될 수 있음을 안내한 사실 확인
▣ 소비자 유의사항
은행은 대출 연체 등 기한이익 상실 사유 발생시 상계 예정 통지서 발송 등 절차를 거쳐 채무자 명의의 예금을 대출 원리금과 상계할 수 있음
모임통장은 모임주 개인 명의의 통장으로 모임회비의 지급, 해지 등 잔액에 대한 모든 권한이 모임주에게 있으며, 모임주의 대출 연체 등 신용 상황에 따라 모임 통장이 모임주의 대출과 상계 처리될 수 있으므로 모임의 공동 재산에 피해가 가지 않도록 유의해야 함","ok",""
"8_(은행)_은행에서 가입한 특정금전신탁이라도 원금보장이 되지 않으며, 상품가입시 투자위험성을 충분히 인지해야 합니다.hwp","hwp","8_(은행)_은행에서 가입한 특정금전신탁이라도 원금보장이 되지 않으며, 상품가입시 투자위험성을 충분히 인지해야 합니다","","<분쟁사례>

 

특정금전신탁 상품 손실에 따른 보상 요구 사례

< 민원유형 : 펀드(투자신탁) – 상품 설명 부적정   ▣ 민원내용    원금비보장형 특정금전신탁 상품에 가입한 민원인이 상품 판매 직원에게 원금손실 가능성에 대해 충분한 설명을 듣지 못하였다며 원금 손실에 대한 보상을 요구하는 취지로 민원을 제기   ▣ 쟁점    민원인이 은행에서 가입한 특정금전신탁 상품의 불완전판매 여부   ▣ 처리결과    민원인이 「투자자정보확인서」에 자신의 금융상품에 대한 지식이 매우 높은 수준이고 기대수익이 높다면 시장 상황에 따라 원금손실을 감내할 수 있다고 답하였고, 투자로 인한 손실의 책임이 투자자 본인에게 있다는 내용의 「비예금상품 설명확인서」에 직접 서명하였으며, 이는 해피콜 녹취록에서도 확인되어 은행 측이 불완전판매를 했다는 판단을 하기 어렵다는 근거로 민원인의 입장을 수용하지 않음   ▣ 소비자 유의사항    비교적 안전하다고 인식되는 은행을 통해 특정금전신탁에 가입하더라도 원금보장이 되지 않으며, 특히 ELS와 같은 파생상품과 연계된 특정금전신탁은 고위험 상품임을 명심하여야 함   가입 시에도 위험도나 만기, 중도상환(해지) 조건 등을 꼼꼼히 살펴보아야 하며 판매 직원의 설명에만 의존하지 말고, 상품설명서 등을 통해 투자의 위험성을 충분히 인지한 후 가입서류를 작성하여야 함>","ok",""
